CanonicalFunction,MergedFunctions,Mechanism,Structure,paragraph_ids,num_paragraphs,num_phrases,Subsystems
+/-180 degrees rotation,+/-180 degrees rotation,,arc-shaped limiting rail | auxiliary control component | azimuth bracket | blocking piece | blocking piece position | common circle with limit rail | cradle head with degree of freedom mechanism | exposed part | limit track | limiting structure | main control component | mode switching component | movable part on limiting rail | passing channel | unmanned aerial vehicle,5377,1,1,blades | autonomous flight control
utilizing products include mg-cements/building,utilizing products include mg-cements/building,,CO2 capture and utilization hub | Lake Kivu | oxyfuel power generation | ˜50 million tonnes dissolved biomethane,118,1,1,CO2 gas-gap insulation | solar panel
10 times speed,10 times speed,,Figure 3 | column pipe 12B | gravity power generation building 12,226,1,1,solar panel | CO2 gas-gap insulation
1000 times rotation output,100 times rotation output | 1000 times rotation output,,Figure 3 | column pipe 12B | crosslinkable organosilicon material | engine 89D | gravity power generation building 12 | horizontal full-blade blade ratio turbine 11W | polymer formula (I) | polymer formula (II) | simple air injection engine | simple gas engine 89C | simple injection engine 89E | vertical all-blade steam water gravity turbine,127 | 226 | 309,3,2,blades | solar panel
10000 times 100 water,10000 times 100 water,supercritical pressure steam acceleration | vertical full rotor blade turbine,column pipe | gravity power generation building | large specific gravity substance lifting device | solution,261,1,1,blades | solar panel
200 monitors status information,200 monitors status information,main body attachment,airborne coordinate measuring machine | drone-integrated video control server | electric pole sides | first counter body | first driving body | first mounting module | head-mounted display | second counter body | second driving body | second mounting module | streaming server | support reinforcement device,2888,1,1,sensors | autonomous flight control
23K methylation chip for cattle,23K methylation chip for cattle,,"23,525 methylation variant sites | genotyping target | light emitting device | methylation chip present invention | provides robust research foundation | solid-state light source | wavelength converter",321,1,1,telecommunication | camera
24-hour real-time surveillance,24-hour real-time surveillance,,24-hour real-time information surveillance | aircraft operation device | ascending/descending control signal | control center device | jack-up barge | operation layer | reconnaissance system based moored | tether cable mooring device,2775,1,1,telecommunication | autonomous flight control
2D histogram generation method,2D histogram generation method,,S-shaped link member | cycloid curve shape near hinge | obstacle avoidance device | pair of rotatable link members | stability augmentation cradle head | stability augmentation device,5283,1,1,landing system | blades
2D or 3D air display,2D or 3D air display,drone LED activation per pixel | transmit RGBW pixel data,drone equipped with RGBW LED | formed on 2D plane of drone | holographic display | pixels of spatial light modulator | transmitted to drone,4122,1,1,blades | telecommunication
"35° C. to 1,650° C.","35° C. to 1,650° C.",,,3216,1,1,survival heaters | CO2 gas-gap insulation
360-degree electric power inspection,360-degree electric power inspection,,cable tower grappling hook assemblies | intelligent visual perception system | rotating and swinging joints | snake heads and tails | snake-shaped flying mechanical arm | unmanned aerial vehicle,1718 | 1719,2,1,camera | sensors
360-degree rotation,360-degree rotation,battery status data | control module receives position data | location data,communication with management server | control module | drone components in frisbee-like shell | flight plan scheduling | hybrid aerial vehicle fuselage | management server | mechanism for coordinated wing contraction | wireless communication,1941 | 1942,2,1,autonomous flight control | blades
3D control of unmanned flying vehicles,3D control of unmanned flying vehicles,,communication part | controls flight attitude | depth data | drone attitude measurement part | flight controller | lidar sensors | location information acquisition part | operator and visual observer | transmits lidar point data | ultrahigh-speed wideband network | visual contact responsibility area,5460 | 5461,2,1,sensors | autonomous flight control
3D data from DSM model,3D data from DSM model,convex polygon simplification | flight mission area as graph nodes | flight mission area division | flight path evaluation function | genetic algorithm optimization,anteroposterior communication device | communication satellite system | satellites flying in front and behind,3690 | 3691,2,1,avionics processing | autonomous flight control
